source,target,relationship
Clemmys guttata,Pennsylvania,locatedIn
Clemmys guttata,Ohio,locatedIn
Clemmys guttata,New York,locatedIn
Clemmys guttata,California,locatedIn
Clemmys guttata,Georgia,locatedIn
Clemmys guttata,Michigan,locatedIn
Clidoderma asperrimum,,locatedIn
Colobus angolensis,Texas,locatedIn
Conasprella stearnsii,,locatedIn
Conus floridanus,Florida,locatedIn
Conus scalaris,North Carolina,locatedIn
Conus scalaris,Florida,locatedIn
Conus scalaris,,locatedIn
Coregonus hoyi,Wisconsin,locatedIn
Coregonus hoyi,,locatedIn
Coregonus hoyi,Michigan,locatedIn
Coregonus kiyi,,locatedIn
Coregonus kiyi,Michigan,locatedIn
Coregonus kiyi,Wisconsin,locatedIn
Coregonus kiyi,Minnesota,locatedIn
Coregonus zenithicus,,locatedIn
Correlophus ciliatus,California,locatedIn
Coryphopterus eidolon,,locatedIn
Coryphopterus lipernes,,locatedIn
Coryphopterus personatus,,locatedIn
Cosmocampus balli,,locatedIn
Cottus extensus,Idaho,locatedIn
Cottus extensus,Utah,locatedIn
Cottus paulus,Alabama,locatedIn
Cottus tenuis,Oregon,locatedIn
Crangonyx grandimanus,Florida,locatedIn
Crangonyx hobbsi,Florida,locatedIn
Crax alberti,New Mexico,locatedIn
Crematogaster pilosa,Georgia,locatedIn
Crematogaster pilosa,Arkansas,locatedIn
Crematogaster pilosa,Tennessee,locatedIn
Crematogaster pilosa,Alabama,locatedIn
Crematogaster pilosa,Ohio,locatedIn
Crematogaster pilosa,Oklahoma,locatedIn
Crenichthys baileyi,Nevada,locatedIn
Crocodylus acutus,Florida,locatedIn
Crotaphytus reticulatus,Texas,locatedIn
Cryptoprocta ferox,Texas,locatedIn
Crystallaria asprella,Alabama,locatedIn
Crystallaria asprella,Arkansas,locatedIn
Crystallaria asprella,Mississippi,locatedIn
Crystallaria asprella,Wisconsin,locatedIn
Crystallaria asprella,Florida,locatedIn
Crystallaria asprella,Louisiana,locatedIn
Ctenomys sociabilis,California,locatedIn
Cumberlandia monodonta,Tennessee,locatedIn
Cuora amboinensis,Colorado,locatedIn
Cuora amboinensis,California,locatedIn
Cuora flavomarginata,Massachusetts,locatedIn
Cuora galbinifrons,California,locatedIn
Cynomys parvidens,Utah,locatedIn
Cynoscion regalis,,locatedIn
Cynoscion regalis,New Jersey,locatedIn
Cynoscion regalis,Alabama,locatedIn
Cynoscion regalis,Maryland,locatedIn
Cyprinella caerulea,Tennessee,locatedIn
Cyprinella caerulea,Alabama,locatedIn
Cyprinella lepida,Texas,locatedIn
Cyprinella monacha,Tennessee,locatedIn
Cyprinella monacha,North Carolina,locatedIn
Cyprinodon elegans,Texas,locatedIn
Cyprinodon eremus,Arizona,locatedIn
Cyprinodon macularius,Arizona,locatedIn
Cyprinodon macularius,California,locatedIn
Cyprinodon macularius,Michigan,locatedIn
Cyprinodon nevadensis,California,locatedIn
Cyprinodon pecosensis,New Mexico,locatedIn
Cyprinodon salinus,California,locatedIn
Cyprinodon tularosa,New Mexico,locatedIn
Cyprinus carpio,Delaware,locatedIn
Cyprinus carpio,South Carolina,locatedIn
Cyprinus carpio,Iowa,locatedIn
Cyprinus carpio,Missouri,locatedIn
Cyprinus carpio,Illinois,locatedIn
Cyprinus carpio,Wisconsin,locatedIn
Cyprinus carpio,Colorado,locatedIn
Cyprinus carpio,Nebraska,locatedIn
Cyprinus carpio,Washington,locatedIn
Cyprinus carpio,Minnesota,locatedIn
Cyprinus carpio,Florida,locatedIn
Cyprinus carpio,Wyoming,locatedIn
Cyprinus carpio,Oklahoma,locatedIn
