source,target,relationship
Triaenodon obesus,Maro,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Maro,foundOn
Triaenodon obesus,French Frigate,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Maro,foundOn
Triaenodon obesus,French Frigate,foundOn
Triaenodon obesus,Pearl & Hermes,foundOn
Triaenodon obesus,Pearl & Hermes,foundOn
Triaenodon obesus,French Frigate,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Maro,foundOn
Triaenodon obesus,Pearl & Hermes,foundOn
Triaenodon obesus,French Frigate,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Lisianski,foundOn
Triaenodon obesus,Pearl & Hermes,foundOn
Triaenodon obesus,Pearl & Hermes,foundOn
Triaenodon obesus,Lisianski,foundOn
Vestiaria coccinea,Hawaii,foundOn
Vestiaria coccinea,Hawaii,foundOn
Vestiaria coccinea,Maui,foundOn
